name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
cambodia,2024-01-01,91.2,77.4,84.5,94.9,77.4,89.2,72,67.8,0.02,100,16.67,rain,0,0,16.3,9.7,57.2,1011,29.9,6.6,200.8,17.4,7,10,2024-01-01T06:19:59,2024-01-01T17:47:30,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48992099999,VDPP,48991099999,48997099999"
cambodia,2024-01-02,91.8,78.3,84.9,97.1,78.3,88.8,70.3,62.9,0,0,0,,0,0,19.9,11,37.6,1010.8,34.4,6.1,220.1,19.1,8,10,2024-01-02T06:20:23,2024-01-02T17:48:03,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48992099999,VDPP,48991099999,48997099999"
cambodia,2024-01-03,91.4,78.4,84.8,95.4,78.4,88.3,69.5,61.2,0,0,0,,0,0,21.3,11.9,39.4,1011,40.6,6.1,221.3,19.1,8,10,2024-01-03T06:20:46,2024-01-03T17:48:36,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48992099999,VDPP,48991099999,48997099999"
cambodia,2024-01-04,89.8,75.2,82.5,92.3,75.2,83.9,66.1,58.6,0,0,0,,0,0,15,10.3,47.7,1011.5,20.3,6.2,238.8,20.8,8,10,2024-01-04T06:21:08,2024-01-04T17:49:09,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48992099999,VDPP,48991099999,48997099999"
cambodia,2024-01-05,89.1,75.6,82,91,75.6,83.5,65.9,58.9,0,0,0,,0,0,15.4,7.7,38.4,1012.2,53.6,6.1,226.1,19.4,8,10,2024-01-05T06:21:29,2024-01-05T17:49:42,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48992099999,VDPP,48991099999,48997099999"
cambodia,2024-01-06,89.9,74.3,82.1,93.6,74.3,84,67.9,63.1,0,0,0,,0,0,17,8.2,17.5,1012,25,6.1,219.6,19,8,10,2024-01-06T06:21:50,2024-01-06T17:50:16,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48992099999,VDPP,48991099999,48997099999"
cambodia,2024-01-07,90.9,77,83.2,97,77,86.1,69.6,64.5,0,0,0,,0,0,15.9,8.2,28.9,1012.3,27.1,6,217.9,18.9,8,10,2024-01-07T06:22:10,2024-01-07T17:50:49,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48992099999,VDPP,48991099999,48997099999"
cambodia,2024-01-08,91.2,77.2,83.6,96.8,77.2,86.9,70.1,64.9,0,0,0,,0,0,17.4,8.4,33.8,1011.9,32.1,6.6,216,18.8,8,10,2024-01-08T06:22:28,2024-01-08T17:51:22,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48992099999,VDPP,48991099999,48997099999"
cambodia,2024-01-09,93.2,77.9,84.2,99.2,77.9,88.8,72.8,70.4,0,0,0,,0,0,12.3,5.9,2.1,1010.8,35.8,6,216,18.6,8,10,2024-01-09T06:22:46,2024-01-09T17:51:55,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48992099999,VDPP,48991099999,48997099999"
cambodia,2024-01-10,92.7,77.2,84.9,99.5,77.2,90.9,74.3,72.3,0.008,100,8.33,rain,0,0,13.9,5.8,167,1010.2,35.6,5.9,212.5,18.5,8,10,2024-01-10T06:23:03,2024-01-10T17:52:28,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48992099999,VDPP,48991099999,48997099999"
cambodia,2024-01-11,93.6,79.9,85.5,98.8,79.9,91,72.6,67.1,0.004,100,4.17,rain,0,0,14.5,8.2,110.3,1010.8,35.7,6.5,194.6,16.9,7,10,2024-01-11T06:23:20,2024-01-11T17:53:00,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48992099999,VDPP,48991099999,48997099999"
